No.	Time	Source	Destination	Protocol	Length	Info
105	39.603325	192.168.50.1	239.255.255.250	UDP/XML	698	60831 ¡ú 3702 Len=656
106	39.623270	fe80::ff1:580a:a163:a5c0	ff02::c	UDP/XML	718	60832 ¡ú 3702 Len=656
107	39.976176	192.168.50.1	239.255.255.250	UDP/XML	698	60831 ¡ú 3702 Len=656
108	40.033016	192.168.50.152	192.168.50.156	TCP	60	2494 ¡ú 49 [SYN] Seq=0 Win=512 Len=0
109	40.038108	fe80::ff1:580a:a163:a5c0	ff02::c	UDP/XML	718	60832 ¡ú 3702 Len=656
110	40.721117	192.168.50.1	239.255.255.250	UDP/XML	698	60831 ¡ú 3702 Len=656
111	40.866824	fe80::ff1:580a:a163:a5c0	ff02::c	UDP/XML	718	60832 ¡ú 3702 Len=656
112	41.034090	192.168.50.152	192.168.50.156	TCP	60	2495 ¡ú 50 [SYN] Seq=0 Win=512 Len=0
113	41.432837	VMware_7a:15:6b	VMware_bf:0a:c7	ARP	60	Who has 192.168.50.156? Tell 192.168.50.152
114	41.432853	VMware_bf:0a:c7	VMware_7a:15:6b	ARP	42	192.168.50.156 is at 00:0c:29:bf:0a:c7
115	42.034390	192.168.50.152	192.168.50.156	TCP	60	2496 ¡ú 51 [SYN] Seq=0 Win=512 Len=0
116	42.210022	192.168.50.1	239.255.255.250	UDP/XML	698	60831 ¡ú 3702 Len=656
117	42.522742	fe80::ff1:580a:a163:a5c0	ff02::c	UDP/XML	718	60832 ¡ú 3702 Len=656
118	43.035572	192.168.50.152	192.168.50.156	TCP	60	2497 ¡ú 52 [SYN] Seq=0 Win=512 Len=0
119	44.036005	192.168.50.152	192.168.50.156	TCP	60	2498 ¡ú 53 [SYN] Seq=0 Win=512 Len=0
120	44.036052	192.168.50.156	192.168.50.152	TCP	58	53 ¡ú 2498 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460
121	44.039042	192.168.50.152	192.168.50.156	TCP	60	2498 ¡ú 53 [RST] Seq=1 Win=0 Len=0
122	44.210454	192.168.50.1	239.255.255.250	UDP/XML	698	60831 ¡ú 3702 Len=656
123	44.522828	fe80::ff1:580a:a163:a5c0	ff02::c	UDP/XML	718	60832 ¡ú 3702 Len=656
124	45.036118	192.168.50.152	192.168.50.156	TCP	60	2499 ¡ú 54 [SYN] Seq=0 Win=512 Len=0
125	46.037157	192.168.50.152	192.168.50.156	TCP	60	2500 ¡ú 55 [SYN] Seq=0 Win=512 Len=0
126	46.210617	192.168.50.1	239.255.255.250	UDP/XML	698	60831 ¡ú 3702 Len=656
127	46.523827	fe80::ff1:580a:a163:a5c0	ff02::c	UDP/XML	718	60832 ¡ú 3702 Len=656
128	47.038159	192.168.50.152	192.168.50.156	TCP	60	2501 ¡ú 56 [SYN] Seq=0 Win=512 Len=0
129	48.038577	192.168.50.152	192.168.50.156	TCP	60	2502 ¡ú 57 [SYN] Seq=0 Win=512 Len=0
130	48.484904	192.168.50.156	180.163.252.201	TCP	55	[TCP Keep-Alive] 50075 ¡ú 80 [ACK] Seq=1 Ack=1 Win=63328 Len=1
131	48.485092	180.163.252.201	192.168.50.156	TCP	60	[TCP Keep-Alive ACK] 80 ¡ú 50075 [ACK] Seq=1 Ack=2 Win=64240 Len=0
132	49.039270	192.168.50.152	192.168.50.156	TCP	60	2503 ¡ú 58 [SYN] Seq=0 Win=512 Len=0
133	49.188494	192.168.50.156	180.163.228.250	TCP	66	63617 ¡ú 80 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM
134	49.196682	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63617 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460
135	49.196756	192.168.50.156	180.163.228.250	TCP	54	63617 ¡ú 80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
136	49.206889	192.168.50.156	180.163.228.250	TCP	336	63617 ¡ú 80 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=282 [TCP PDU reassembled in 138]
137	49.207107	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63617 [ACK] Seq=1 Ack=283 Win=64240 Len=0
138	49.207123	192.168.50.156	180.163.228.250	HTTP	968	POST /cloudquery.php HTTP/1.1 
139	49.207225	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63617 [ACK] Seq=1 Ack=1197 Win=64240 Len=0
140	49.247525	180.163.228.250	192.168.50.156	HTTP	620	HTTP/1.1 200 OK  (application/octet-stream)
141	49.247734	192.168.50.156	180.163.228.250	TCP	54	63617 ¡ú 80 [FIN, ACK] Seq=1197 Ack=567 Win=63674 Len=0
142	49.247860	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63617 [ACK] Seq=567 Ack=1198 Win=64239 Len=0
143	49.255602	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63617 [FIN, PSH, ACK] Seq=567 Ack=1198 Win=64239 Len=0
144	49.255637	192.168.50.156	180.163.228.250	TCP	54	63617 ¡ú 80 [ACK] Seq=1198 Ack=568 Win=63674 Len=0
145	49.504128	192.168.50.156	36.99.172.6	DNS	81	Standard query 0xf0bd A s.f.360.cn OPT
146	49.530722	36.99.172.6	192.168.50.156	DNS	288	Standard query response 0xf0bd A s.f.360.cn CNAME s.f.qh-lb.com NS dns8.360safe.com NS dns9.360safe.com NS dns2.360safe.com NS dns1.360safe.com NS dns3.360safe.com NS dns7.360safe.com OPT
147	49.534450	192.168.50.156	106.63.24.180	DNS	84	Standard query 0xda4c A s.f.qh-lb.com OPT
148	49.535846	192.168.50.156	8.8.8.8	DNS	70	Standard query 0x4812 A s.f.360.cn
149	49.565750	106.63.24.180	192.168.50.156	DNS	105	Standard query response 0xda4c A s.f.qh-lb.com A 103.28.8.52 A 36.99.172.117
150	49.567234	192.168.50.156	103.28.8.52	TCP	66	63619 ¡ú 80 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM
151	49.567775	8.8.8.8	192.168.50.156	DNS	129	Standard query response 0x4812 A s.f.360.cn CNAME s.f.qh-lb.com A 36.99.172.75 A 103.28.8.34
152	49.597564	103.28.8.52	192.168.50.156	TCP	60	80 ¡ú 63619 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460
153	49.597638	192.168.50.156	103.28.8.52	TCP	54	63619 ¡ú 80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
154	49.597850	192.168.50.156	103.28.8.52	HTTP	953	POST /scan HTTP/1.1  (application/x-www-form-urlencoded)
155	49.598090	103.28.8.52	192.168.50.156	TCP	60	80 ¡ú 63619 [ACK] Seq=1 Ack=900 Win=64240 Len=0
